0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:19:56 +0530] "GET /MegaCityCabs/customer/my_bookings.html HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:09 +0530] "GET /MegaCityCabs/customer/myBookings.jsp HTTP/1.1" 500 5095
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:22:55 +0530] "GET /MegaCityCabs/customer/customer/help.jsp HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:24:05 +0530] "GET /MegaCityCabs/customer/customer/help.jsp HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:24:07 +0530] "GET /MegaCityCabs/customer/customer/help.jsp HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:24:48 +0530] "GET /MegaCityCabs/customer/booking.jsp HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:24:51 +0530] "GET /MegaCityCabs/customer/customer/home.jsp HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:24:57 +0530] "GET /MegaCityCabs/customer/customer/home.jsp HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:25:36 +0530] "GET /MegaCityCabs/ HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:25:37 +0530] "GET /MegaCityCabs/customer/home.jsp HTTP/1.1" 200 3985
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:25:41 +0530] "GET /MegaCityCabs/customer/booking.jsp HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:25:45 +0530] "GET /MegaCityCabs/customer/help.jsp HTTP/1.1" 200 5551
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:25:47 +0530] "GET /MegaCityCabs/customer/my_bookings.html HTTP/1.1" 404 798
